country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
World,1985,,4861730816.0,,18.343,10.604,14.071,68.41,,,,0.081,,4.295,988.299,4935.843,23996.738,770.998,3748.385,5.067,1170.842,4993.388,24276.508,37.916,28.454,,9886.064,12.746,2.684,2204.289,17346.605,,1.944,1409.781,1292.847,6285.474,15209.658,73945.266,63.579,87.681,2.261,359.541,16262.217,293.379,1426.332,3344.944,2.638,421.726,3375.411,16410.338,14.428,19.283,,1.951,111.982,5852.602,407.107,1979.244,1203.81,20.021,6.94,8.564,794.497,10389.252,729.564,3546.944,2136.945,35.878,12.319,,,18.68,664.981,4224.837,306.253,1488.922,868.999,15.061,5.01,0.184,61.945,33686.312,228.47,1110.757,6928.873,-0.875,-286.537,6677.803,32465.682,11.236,39.944,243.177,78.703,,3.086,6.857,16.188,,50.019,0.796,,0.288,2033.446,84334.523,2.45,129.516,6164.414,423.311,2058.022,1267.946,20.817,7.309,86.14,0.016,0.035,0.002,0.012,0.007,0.0,0.0,43.491,0.058,0.19,0.013,0.064,0.039,0.001,0.0
World,1986,,4950063104.0,,23.086,15.793,17.01,84.203,,,,0.098,,1.113,267.08,4901.719,24263.818,775.548,3839.01,2.372,575.787,5020.602,24852.295,37.708,28.146,,10180.79,12.859,2.222,1873.703,17415.582,,1.971,1457.586,1300.988,6439.975,15232.705,75402.852,63.256,87.466,0.977,158.891,16421.107,289.429,1432.692,3317.353,2.586,424.443,3400.923,16834.781,14.072,19.048,,1.356,79.334,5931.936,405.262,2006.073,1198.356,19.704,6.881,4.294,416.127,10805.379,744.719,3686.406,2182.877,36.209,12.534,,,7.107,300.249,4525.086,322.165,1594.736,914.147,15.664,5.249,3.062,1031.609,34717.922,236.012,1168.273,7013.632,4.94,1603.709,6882.618,34069.391,11.475,40.272,263.698,85.443,,8.565,20.521,17.261,,53.272,0.839,,0.306,2056.699,86208.227,2.325,115.879,6280.293,422.554,2091.67,1268.73,20.545,7.285,29.252,0.01,0.045,0.003,0.015,0.009,0.0,0.0,116.18,0.221,0.411,0.028,0.139,0.083,0.001,0.0
World,1987,,5040984576.0,,1.339,1.127,16.927,85.33,,,,0.096,,3.976,964.668,5004.674,25228.486,805.017,4058.077,1.887,468.971,5023.08,25321.266,38.03,28.243,,10670.628,13.018,3.617,3118.062,17720.008,,3.475,2620.57,1340.564,6757.762,15477.814,78023.422,63.33,87.347,5.242,860.785,17281.893,300.836,1516.51,3428.277,5.012,843.791,3506.968,17678.572,14.212,19.347,,1.352,80.192,6012.128,403.332,2033.192,1192.65,19.054,6.731,4.624,497.481,11302.86,765.654,3859.648,2242.193,36.171,12.653,,,8.779,397.245,4922.331,344.126,1734.733,976.462,16.257,5.511,2.29,795.125,35513.047,234.711,1183.175,7044.863,0.231,78.699,6774.091,34148.09,11.088,39.757,282.462,91.516,,7.107,18.764,18.154,,56.033,0.858,,0.316,2116.775,89326.289,1.58,100.236,6380.529,421.528,2124.915,1265.731,19.914,7.143,-30.169,-0.014,0.031,0.002,0.011,0.006,0.0,0.0,40.73,0.167,0.578,0.039,0.195,0.115,0.002,0.001
World,1988,,5132294144.0,,4.957,4.23,17.45,89.56,,,,0.097,,2.991,754.592,5062.664,25983.078,818.479,4200.674,2.429,615.039,5053.55,25936.305,37.706,28.043,,11140.627,13.126,3.725,3327.242,18053.043,,3.432,2677.414,1363.558,6998.179,15724.125,80700.836,62.817,87.1,4.669,806.949,18088.842,300.252,1540.98,3524.514,4.408,779.191,3596.396,18457.764,13.832,19.523,,3.205,192.667,6204.794,408.852,2098.349,1208.971,18.835,6.697,5.797,649.837,11952.697,795.765,4084.101,2328.919,36.66,12.9,,,9.022,444.117,5366.448,368.5,1891.249,1045.624,16.976,5.792,3.142,1115.867,36628.914,244.827,1256.525,7136.948,4.274,1459.48,6937.944,35607.57,11.279,39.533,290.883,94.161,,2.89,8.421,18.347,,56.677,0.845,,0.314,2170.691,92653.531,3.265,205.719,6586.249,427.265,2192.852,1283.295,19.683,7.108,-3.839,-0.001,0.03,0.002,0.01,0.006,0.0,0.0,69.713,0.403,0.98,0.065,0.332,0.191,0.003,0.001
World,1989,,5223704064.0,,6.843,6.129,18.318,95.689,,,,0.101,,0.954,247.971,5021.542,26231.049,837.908,4376.982,1.766,458.16,5052.826,26394.465,37.545,27.773,,11657.959,13.467,1.936,1794.172,18080.6,,2.018,1628.227,1427.289,7455.736,15760.667,82329.062,63.954,87.169,4.422,799.807,18888.648,330.906,1728.554,3615.949,3.463,639.229,3655.833,19096.992,14.827,19.999,,-0.513,-31.822,6172.972,399.637,2087.587,1181.723,17.907,6.536,1.491,165.943,12118.641,792.576,4140.182,2319.932,35.514,12.831,,,2.843,152.548,5518.996,372.343,1945.011,1056.529,16.684,5.843,1.585,580.453,37209.367,258.476,1350.2,7123.177,1.207,429.91,6898.836,36037.48,11.582,39.397,322.373,104.672,,11.163,31.49,20.038,,61.713,0.898,,0.341,2231.742,94447.703,0.37,13.396,6599.645,420.233,2195.171,1263.403,18.83,6.988,2471.835,0.745,0.775,0.05,0.262,0.148,0.002,0.001,699.137,6.855,7.835,0.507,2.65,1.5,0.023,0.008
World,1990,,5316175872.0,43033605177344.0,11.37,10.88,20.046,106.569,,,,0.112,,-1.2,-314.844,4874.971,25916.205,838.994,4460.242,-0.188,-49.508,4955.622,26344.957,37.289,27.125,,11961.343,13.687,1.162,1097.062,17972.461,2.22,0.821,676.289,1432.419,7614.993,15613.733,83005.352,63.663,86.876,3.137,592.502,19481.15,336.469,1788.729,3664.504,3.143,600.172,3705.138,19697.164,14.954,20.39,,3.403,210.041,6383.013,406.047,2158.619,1200.677,18.047,6.681,3.569,420.766,12539.406,805.177,4280.46,2358.727,35.786,13.124,,,2.858,157.725,5676.721,376.322,2000.596,1067.82,16.726,5.941,1.071,398.633,37608.0,256.956,1366.023,7074.258,1.913,689.297,6908.496,36726.777,11.42,39.362,361.214,117.224,,11.992,38.841,22.051,,67.946,0.98,,0.378,2249.99,95544.766,4.172,263.041,6862.686,428.854,2279.864,1290.906,19.06,7.183,48.099,0.373,1.148,0.073,0.388,0.216,0.003,0.001,37.086,2.906,10.741,0.683,3.632,2.02,0.03,0.011
World,1991,,5406245888.0,,3.826,4.078,20.466,110.647,,,,0.115,,-0.96,-248.799,4747.732,25667.406,842.926,4557.066,-2.718,-716.139,4740.594,25628.818,37.284,26.651,,12222.45,13.91,0.8,764.117,17814.373,,0.39,323.516,1428.457,7722.592,15413.443,83328.867,63.184,86.523,2.524,491.686,19972.836,335.565,1814.147,3694.4,1.333,262.523,3691.968,19959.688,14.843,20.738,,2.313,147.621,6530.634,408.517,2208.542,1207.979,18.07,6.781,3.541,440.604,12980.01,819.738,4431.706,2400.928,36.259,13.477,,,4.784,271.59,5948.311,387.757,2096.31,1100.266,17.151,6.176,0.214,80.625,37688.625,249.966,1351.379,6971.312,-0.27,-99.07,6775.072,36627.707,11.057,39.133,376.841,122.263,,4.298,15.628,22.615,,69.705,1.0,,0.391,2260.802,96308.883,2.498,169.013,7031.699,431.981,2335.396,1300.662,19.107,7.301,30.12,0.346,1.494,0.093,0.505,0.276,0.004,0.002,12.488,1.341,12.083,0.756,4.086,2.235,0.033,0.013
World,1992,,5492686336.0,,-1.754,-1.941,19.791,108.706,,,,0.112,,-0.39,-100.125,4654.786,25567.281,846.546,4649.81,-0.22,-56.371,4655.727,25572.447,37.692,26.392,,12336.336,13.957,0.589,567.07,17637.264,,0.594,494.766,1421.505,7807.883,15260.954,83823.633,63.292,86.527,0.454,90.646,20063.482,332.884,1828.429,3652.763,0.294,58.652,3644.544,20018.34,14.821,20.71,,-0.01,-0.673,6529.961,402.046,2208.314,1188.847,17.901,6.741,0.512,72.309,13052.318,811.424,4456.896,2376.309,36.128,13.473,,,0.759,45.152,5993.463,384.552,2112.223,1091.172,17.122,6.187,1.338,504.246,38192.871,242.075,1329.644,6953.405,1.448,530.289,6764.995,37157.996,10.778,39.425,404.813,131.16,,7.277,27.972,23.879,,73.7,1.063,,0.418,2245.957,96875.953,0.3,27.156,7058.854,426.872,2344.674,1285.137,19.006,7.286,-7.647,-0.114,1.38,0.085,0.467,0.251,0.004,0.001,15.827,1.912,13.995,0.862,4.733,2.548,0.038,0.014
World,1993,,5577433600.0,,5.183,5.634,20.5,114.34,,,,0.117,,0.48,122.664,4606.051,25689.945,847.661,4727.774,-3.012,-770.186,4446.895,24802.262,37.522,26.307,,12599.859,14.195,0.803,778.289,17508.812,,0.187,156.367,1409.015,7858.686,15057.104,83980.0,62.371,85.997,1.007,201.998,20265.48,333.923,1862.431,3633.478,1.139,227.955,3630.038,20246.295,14.781,20.752,,6.023,393.295,6923.256,419.784,2341.319,1241.298,18.582,7.09,4.748,621.928,13674.246,836.949,4668.025,2451.709,37.048,14.003,,,3.444,206.406,6199.87,391.751,2184.965,1111.599,17.341,6.349,-0.441,-168.301,38024.57,227.431,1268.48,6817.575,-0.142,-52.84,6652.729,37105.156,10.067,38.938,418.267,135.481,,3.294,13.454,24.291,,74.993,1.075,,0.428,2259.078,97654.242,5.87,415.522,7474.376,445.198,2483.061,1340.11,19.707,7.654,19.285,0.266,1.646,0.1,0.557,0.295,0.004,0.002,20.524,2.872,16.867,1.023,5.704,3.024,0.045,0.017
World,1994,,5660727808.0,,8.537,9.762,21.923,124.102,,,,0.125,,0.394,101.324,4556.175,25791.27,864.15,4891.716,2.296,569.361,4482.042,25371.623,37.851,26.079,,12923.506,14.377,1.273,1243.234,17470.807,,1.254,1053.203,1434.297,8119.163,15021.603,85033.203,62.825,85.981,0.613,124.133,20389.613,339.838,1923.732,3601.942,1.463,296.221,3628.953,20542.516,14.886,20.617,,0.623,43.128,6966.385,416.184,2355.905,1230.652,18.23,7.044,1.506,190.023,13864.27,835.633,4730.29,2449.203,36.602,14.019,,,1.877,116.378,6316.248,393.232,2225.979,1115.801,17.224,6.387,2.177,827.75,38852.32,230.309,1303.714,6863.485,1.385,514.047,6645.648,37619.203,10.088,39.285,434.681,140.677,,3.836,16.414,24.851,,76.789,1.089,,0.44,2283.011,98897.477,1.194,73.645,7548.021,442.401,2504.311,1333.401,19.378,7.632,7.24,0.119,1.765,0.105,0.597,0.312,0.005,0.002,25.027,4.221,21.088,1.26,7.132,3.725,0.055,0.021
World,1995,,5743219712.0,,5.615,6.969,22.822,131.07,,,,0.13,,0.715,184.479,4522.854,25975.748,877.334,5038.72,3.055,774.992,4552.606,26146.615,37.654,25.704,,13381.801,14.608,2.184,2159.93,17595.949,,1.739,1478.93,1451.333,8335.322,15063.351,86512.133,62.288,85.607,3.506,714.879,21104.492,354.309,2034.873,3674.68,1.66,340.984,3636.201,20883.5,15.206,20.884,,5.411,376.967,7343.352,432.403,2483.388,1278.612,18.558,7.267,4.906,681.005,14545.274,863.883,4961.471,2532.599,37.076,14.393,,,4.337,273.965,6590.213,404.395,2322.53,1147.477,17.356,6.521,1.492,579.574,39431.895,219.69,1261.73,6865.817,1.372,516.312,6640.093,38135.516,9.429,39.019,454.29,146.642,,4.24,19.609,25.533,,79.1,1.096,,0.45,2330.017,101057.406,5.387,407.04,7955.062,459.488,2638.941,1385.122,19.72,7.872,7.019,0.124,1.889,0.111,0.639,0.329,0.005,0.002,15.99,3.372,24.461,1.44,8.272,4.259,0.062,0.024
